YEAR,MONTH,U.S._STATE,POSTAL.CODE,NERC.REGION,CLIMATE.REGION,OUTAGE.START.DATE,OUTAGE.START.TIME,OUTAGE.RESTORATION.DATE,OUTAGE.RESTORATION.TIME,CAUSE.CATEGORY,CAUSE.CATEGORY.DETAIL,OUTAGE.DURATION,DEMAND.LOSS.MW,CUSTOMERS.AFFECTED
2013,7,California,CA,WECC,West,2013-07-03,09:34:00,2013-07-03,10:52:00,intentional attack,,78.0,0.0,0.0
2010,12,California,CA,WECC,West,2010-12-03,21:32:00,2010-12-04,02:00:00,islanding,,268.0,22.0,7077.0
2010,3,California,CA,WECC,West,2010-03-31,23:59:00,2010-04-01,00:38:00,system operability disruption,,39.0,324.0,
2015,2,California,CA,WECC,West,2015-02-04,11:55:00,2015-02-04,11:56:00,intentional attack,vandalism,1.0,,
2010,1,California,CA,WECC,West,2010-01-18,11:30:00,2010-01-28,08:00:00,severe weather,storm,14190.0,290.0,1700000.0
2002,2,California,CA,WECC,West,2002-02-27,10:48:00,2002-02-27,11:35:00,system operability disruption,,47.0,300.0,255000.0
2004,10,California,CA,WECC,West,2004-10-28,15:27:00,2004-10-28,18:08:00,system operability disruption,transmission interruption,161.0,103.0,59458.0
2004,12,California,CA,WECC,West,2004-12-27,07:50:00,2004-12-27,22:50:00,severe weather,,900.0,100.0,95000.0
2010,1,California,CA,WECC,West,2010-01-20,13:00:00,2010-01-24,18:10:00,severe weather,storm,6070.0,,147223.0
2012,4,California,CA,WECC,West,2012-04-17,06:11:00,2012-04-17,17:48:00,intentional attack,vandalism,697.0,0.0,0.0
2008,12,California,CA,WECC,West,2008-12-26,11:40:00,2008-12-26,15:34:00,system operability disruption,,234.0,110.0,50000.0
2012,10,California,CA,WECC,West,2012-10-14,10:36:00,2012-10-14,10:50:00,islanding,,14.0,3.0,2035.0
2003,12,California,CA,WECC,West,2003-12-28,21:00:00,2004-01-01,23:30:00,severe weather,winter storm,5910.0,160.0,241000.0
2014,5,California,CA,WECC,West,2014-05-14,15:34:00,,,severe weather,wildfire,,,426.0
2003,10,California,CA,WECC,West,2003-10-26,01:44:00,2003-11-18,22:54:00,severe weather,wildfire,34390.0,,108000.0
2009,10,California,CA,WECC,West,2009-10-09,18:30:00,2009-10-09,19:10:00,system operability disruption,transmission interruption,40.0,180.0,
2015,7,California,CA,WECC,West,2015-07-18,19:59:00,2015-07-18,22:45:00,severe weather,,166.0,160.0,78164.0
2007,5,California,CA,WECC,West,2007-05-21,13:48:00,2007-05-21,16:50:00,equipment failure,generator trip,182.0,140.0,
2008,2,California,CA,WECC,West,2008-02-01,06:00:00,2008-02-01,19:49:00,equipment failure,,829.0,,
2015,12,California,CA,WECC,West,2015-12-10,03:53:00,2015-12-10,04:08:00,severe weather,,15.0,24.0,9956.0
2004,8,California,CA,WECC,West,2004-08-04,12:46:00,2004-08-04,13:50:00,equipment failure,substation,64.0,480.0,182000.0
2005,11,California,CA,WECC,West,2005-11-03,18:47:00,2005-11-03,19:00:00,severe weather,wildfire,13.0,136.0,
2012,6,California,CA,WECC,West,2012-06-02,07:30:00,2012-06-02,11:35:00,intentional attack,vandalism,245.0,,
2009,12,California,CA,WECC,West,2009-12-07,22:00:00,2009-12-08,16:00:00,equipment failure,,1080.0,400.0,
2001,3,California,CA,WECC,West,2001-03-19,11:50:00,,,system operability disruption,,,,430984.0
2009,10,California,CA,WECC,West,2009-10-13,16:00:00,2009-10-13,22:30:00,severe weather,wind/rain,390.0,350.0,859554.0
2010,7,California,CA,WECC,West,2010-07-29,18:39:00,2010-07-29,19:26:00,severe weather,wildfire,47.0,522.0,
2008,7,California,CA,WECC,West,2008-07-01,07:31:00,2008-07-01,12:00:00,equipment failure,generator trip,269.0,160.0,
2015,2,California,CA,WECC,West,2015-02-06,20:58:00,,,severe weather,wind,,,65000.0
2009,6,California,CA,WECC,West,2009-06-05,13:38:00,2009-06-05,20:18:00,islanding,,400.0,1.0,70.0
2010,8,California,CA,WECC,West,2010-08-02,12:00:00,2010-08-02,23:00:00,fuel supply emergency,Hydro,660.0,,
2011,3,California,CA,WECC,West,2011-03-27,13:27:00,2011-03-27,17:00:00,system operability disruption,transmission interruption,213.0,295.0,165000.0
2009,4,California,CA,WECC,West,2009-04-23,00:00:00,,,fuel supply emergency,,,,
2008,11,California,CA,WECC,West,2008-11-07,11:13:00,2008-11-07,23:54:00,system operability disruption,,761.0,250.0,140000.0
2005,12,California,CA,WECC,West,2005-12-31,06:00:00,2006-01-05,21:00:00,severe weather,storm,8100.0,800.0,1667316.0
2006,7,California,CA,WECC,West,2006-07-24,14:33:00,2006-07-24,17:33:00,severe weather,heatwave,180.0,414.0,
2009,4,California,CA,WECC,West,2009-04-23,17:54:00,2009-04-23,19:58:00,system operability disruption,HVSubstation interruption,124.0,512.0,280000.0
2012,7,California,CA,WECC,West,2012-07-07,04:00:00,2012-07-10,04:00:00,fuel supply emergency,Hydro,4320.0,,0.0
2002,12,California,CA,WECC,West,2002-12-19,06:00:00,2002-12-21,05:00:00,severe weather,winter storm,2820.0,56.0,385000.0
2012,12,California,CA,WECC,West,2012-12-02,05:20:00,2012-12-04,09:00:00,intentional attack,,3100.0,250.0,125000.0
2016,3,California,CA,WECC,West,2016-03-03,11:00:00,2016-04-06,19:47:00,fuel supply emergency,,49427.0,0.0,0.0
2015,10,California,CA,WECC,West,2015-10-18,07:00:00,2015-10-18,23:29:00,severe weather,,989.0,88.0,55677.0
2003,7,California,CA,WECC,West,2003-07-02,13:54:00,2003-07-02,15:59:00,equipment failure,generator trip,125.0,200.0,1.0
2015,7,California,CA,WECC,West,2015-07-27,03:52:00,2015-07-27,04:36:00,islanding,,44.0,,484.0
2012,8,California,CA,WECC,West,2012-08-04,03:55:00,2012-08-04,04:21:00,islanding,,26.0,5.0,127.0
2005,7,California,CA,WECC,West,2005-07-22,13:55:00,2005-07-22,18:00:00,system operability disruption,,245.0,206.0,133900.0
2000,6,California,CA,WECC,West,2000-06-14,13:13:00,,,system operability disruption,,,130.0,32000.0
2015,3,California,CA,WECC,West,2015-03-26,15:21:00,2015-03-26,16:59:00,islanding,,98.0,15.0,
2014,5,California,CA,WECC,West,2014-05-08,08:39:00,2014-05-08,08:40:00,intentional attack,,1.0,,
2011,6,California,CA,WECC,West,2011-06-09,14:15:00,2011-06-09,14:15:00,intentional attack,vandalism,0.0,0.0,0.0
2010,11,California,CA,WECC,West,2010-11-06,15:53:00,2010-11-06,18:08:00,islanding,,135.0,20.0,4.0
2010,6,California,CA,WECC,West,2010-06-06,04:45:00,2010-06-06,05:35:00,islanding,,50.0,3.0,2650.0
2010,9,California,CA,WECC,West,2010-09-22,06:12:00,2010-09-22,23:00:00,system operability disruption,,1008.0,526.0,
2011,6,California,CA,WECC,West,2011-06-05,20:02:00,2011-06-05,20:55:00,islanding,,53.0,10.0,5314.0
2001,3,California,CA,WECC,West,2001-03-19,11:46:00,2001-03-19,21:00:00,public appeal,,554.0,700.0,
2011,2,California,CA,WECC,West,2011-02-03,15:00:00,2011-02-04,12:00:00,fuel supply emergency, Natural Gas,1260.0,,
2010,10,California,CA,WECC,West,2010-10-05,05:45:00,2010-10-07,06:00:00,severe weather,wind/rain,2895.0,,73514.0
2009,8,California,CA,WECC,West,2009-08-31,10:31:00,2009-08-31,12:00:00,public appeal,,89.0,,
2015,6,California,CA,WECC,West,2015-06-20,13:52:00,2015-06-20,15:30:00,intentional attack,vandalism,98.0,,0.0
2008,9,California,CA,WECC,West,2008-09-08,22:03:00,2008-09-09,12:28:00,fuel supply emergency,,865.0,300.0,
2011,6,California,CA,WECC,West,2011-06-04,01:17:00,2011-06-04,03:25:00,intentional attack,vandalism,128.0,,420.0
2007,5,California,CA,WECC,West,2007-05-10,09:57:00,2007-05-10,13:47:00,equipment failure,generator trip,230.0,150.0,
2008,7,California,CA,WECC,West,2008-07-02,19:16:00,2008-07-02,23:28:00,severe weather,wildfire,252.0,208.0,200000.0
2011,3,California,CA,WECC,West,2011-03-21,12:35:00,2011-03-21,14:45:00,severe weather,storm,130.0,150.0,54332.0
2010,12,California,CA,WECC,West,2010-12-14,07:20:00,2010-12-14,07:25:00,islanding,,5.0,9.0,6635.0
2015,7,California,CA,WECC,West,2015-07-18,18:26:00,2015-07-18,21:03:00,islanding,,157.0,30.0,70.0
2011,3,California,CA,WECC,West,2011-03-19,23:56:00,2011-03-24,19:10:00,severe weather,storm,6914.0,91.0,128000.0
2010,10,California,CA,WECC,West,2010-10-27,17:16:00,2010-10-27,17:27:00,islanding,,11.0,16.0,2674.0
2012,12,California,CA,WECC,West,2012-12-06,21:18:00,2012-12-06,21:31:00,system operability disruption,,13.0,390.0,
2012,6,California,CA,WECC,West,2012-06-19,05:30:00,2012-06-21,05:30:00,fuel supply emergency,Hydro,2880.0,,
2004,5,California,CA,WECC,West,2004-05-03,14:30:00,2004-05-03,19:00:00,severe weather,heatwave,270.0,662.0,940.0
2007,10,California,CA,WECC,West,2007-10-26,06:44:00,2007-10-26,22:46:00,severe weather,wildfire,962.0,280.0,20345.0
2010,7,California,CA,WECC,West,2010-07-29,18:39:00,2010-07-29,19:26:00,severe weather,wildfire,47.0,522.0,
2016,2,California,CA,WECC,West,2016-02-26,00:01:00,,,fuel supply emergency,,,0.0,0.0
2012,10,California,CA,WECC,West,2012-10-05,17:30:00,2012-10-05,17:50:00,intentional attack,,20.0,,
2001,5,California,CA,WECC,West,2001-05-08,15:12:00,2001-05-08,17:00:00,system operability disruption,,108.0,225.0,70848.0
2011,12,California,CA,WECC,West,2011-12-01,00:45:00,2011-12-07,21:00:00,severe weather,,9855.0,,91690.0
2001,5,California,CA,WECC,West,2001-05-07,16:45:00,2001-05-07,18:00:00,public appeal,,75.0,300.0,
2007,10,California,CA,WECC,West,2007-10-22,14:05:00,2007-10-22,14:22:00,severe weather,wildfire,17.0,700.0,300000.0
2007,10,California,CA,WECC,West,2007-10-22,14:01:00,2007-10-22,14:22:00,severe weather,wildfire,21.0,451.0,90323.0
2004,1,California,CA,WECC,West,2004-01-01,07:30:00,2004-01-02,16:00:00,severe weather,winter storm,1950.0,170.0,263000.0
2008,12,California,CA,WECC,West,2008-12-13,15:30:00,2008-12-21,21:17:00,public appeal,,11867.0,5.0,
2001,3,California,CA,WECC,West,2001-03-20,11:50:00,2001-03-20,14:11:00,system operability disruption,,141.0,,25000.0
2007,10,California,CA,WECC,West,2007-10-26,06:44:00,2007-10-26,22:43:00,system operability disruption,,959.0,240.0,104000.0
