Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Transmission/Distribution Interruption; Load Shed; Generation Inadequacy,2011,2011-09-08,3:28 PM,2011-09-10,3:30 PM,WECC Reliability Coordinator,Arizona; California,WECC,"7,000","2,000,000","transmission interruption, distribution interruption"
Suspected Physical Attack,2011,2011-08-28,8:55 PM,2011-08-28,11:39 PM,PacifiCorp,"Calapooya Substation, Oregon",WECC,0,0,"vandalism, physical"
Severe Weather,2011,2011-08-27,2:57 AM,2011-08-29,11:30 PM,Progress Energy Carolinas,Eastern North Carolina,SERC,UNK,"285,465",severe weather
Severe Weather,2011,2011-08-27,10:33 AM,2011-08-29,2:00 PM,Dominion Virginia Power,North Carolina; Virginia,SERC,UNK,"1,000,000",severe weather
Severe Weather,2011,2011-08-27,7:00 PM,2011-08-29,1:31 PM,North Carolina Eastern Municipal Power Agency,Eastern North Carolina,SERC,200,"136,000",severe weather
Distribution System Interruption,2011,2011-08-27,2:00 AM,2011-08-27,5:15 AM,Town of Stantonsburg JRO,Wilson County North Carolina,SERC,2,"1,200",distribution interruption
Suspected Physical Attack,2011,2011-07-12,8:20 PM,2011-07-12,9:30 PM,Gen On,California,WECC,UNK,UNK,"vandalism, physical"
Vandalism,2011,2011-07-01,8:00 AM,2011-07-01,8:01 AM,ISO New England,"CONVEX Local Control Center, Connecticut",NPCC,0,0,vandalism
Severe Thunderstorms,2011,2011-06-18,5:00 PM,2011-06-18,9:33 PM,Duke Energy Carolinas,North Carolina; South Carolina,SERC,300,"70,000","severe weather, thunderstorm"
Severe Thunderstorms,2011,2011-06-15,7:17 PM,2011-06-16,1:45 AM,Duke Energy,"Piedmont, North Carolina",SERC,300,"70,135","severe weather, thunderstorm"
Suspected Physical Attack,2011,2011-06-09,2:15 PM,2011-06-09,2:15 PM,Southern California Edison (SCE),"San Antonio Dam Area, Los Angeles County, California",WECC,0,0,"vandalism, physical"
Electrical System Separation (Islanding),2011,2011-06-05,8:02 PM,2011-06-05,8:55 PM,Pacific Gas and Electric,"Melones, California",WECC,10,"5,314",islanding
Vandalism,2011,2011-06-04,1:17 AM,2011-06-04,3:25 AM,Pacific Gas and Electric,"Midway, California",WECC,UNK,420,vandalism
Severe Weather,2011,2011-06-02,11:45 PM,2011-06-04,4:00 PM,South Carolina Electric and Gas,"Greater Columbia, South Carolina",SERC,0,"50,465",severe weather
Physical Attack,2011,2011-05-24,9:00 AM,2011-05-25,9:10 AM,Edison Mission Generation (Fisk Station),"Chicago, Illinois",RFC,0,0,"vandalism, physical"
Severe Weather,2011,2011-05-11,12:15 AM,2011-05-11,5:20 PM,Duke Energy Carolinas,"Charlotte, North Carolina",SERC,300,"71,000",severe weather
Severe Weather,2011,2011-04-16,2:16 PM,2011-04-17,4:30 PM,Progress Energy Carolinas Inc,Central and Eastern North Carolina,SERC,UNK,"220,000",severe weather
Severe Weather,2011,2011-04-05,2:00 AM,2011-04-07,11:00 PM,Duke Energy Carolinas,"North Carolina, South Carolina",SERC,"1,200","256,000",severe weather
Transmission Level Outage,2011,2011-03-27,1:27 PM,2011-03-27,5:00 PM,Pacific Gas and Electric,"Sonoma and Central Valley, California",WECC,295,"165,000",transmission interruption
Major Storm,2011,2011-03-21,12:35 PM,2011-03-21,2:45 PM,Southern California Edison Company (SCE),Southern California,WECC,150,"54,332","severe weather, storm"
Major Storm,2011,2011-03-20,9:44 AM,2011-03-21,10:00 AM,Los Angeles Department of Water and Power,"Los Angeles, California",WECC,UNK,"79,000","severe weather, storm"
Major Storm,2011,2011-03-19,11:56 PM,2011-03-24,7:10 PM,Pacific Gas and Electric,Northern and Central California,WECC,91,"128,000","severe weather, storm"
Generation Inadequacy/Load Shed,2011,2011-03-11,7:02 AM,2011-03-11,9:15 AM,Pacific Gas and Electric,"Humboldt and Eureka, California",WECC,15,"6,800",load shedding
Winter Storm,2011,2011-02-25,8:00 AM,2011-02-28,5:30 PM,Pacific Gas and Electric,Northern and Central California,WECC,91,"80,000","severe weather, winter storm"
Suspected Cyber Attack,2011,2011-02-17,1:00 PM,2011-02-23,4:53 PM,City of Roseville (Roseville Electric),"Roseville, California",WECC,0,0,"vandalism, cyber"
Major Storm,2011,2011-02-17,1:25 AM,2011-02-19,10:13 AM,Pacific Gas and Electric,Northern and Central California,WECC,91,"80,000","severe weather, storm"
Fuel Supply Deficiency (Natural Gas),2011,2011-02-03,3:00 PM,2011-02-04,12:00 PM,San Diego Gas and Electric Company,"San Diego area, California",WECC,,UNK,"fuel supply emergency, natural gas"
Suspected Telecommunications Attack,2011,2011-01-26,9:25 AM,2011-01-27,5:00 PM,NV Energy,"Carson City, Nevada",WECC,0,0,"vandalism, cyber"
Severe Weather,2010,2010-12-26,8:15 a.m.,2010-12-26,4:15 PM,Progress Energy Carolinas,Carolina,SERC,,"42,000",severe weather
Transmission Equipment/Firm System Load,2010,2010-12-14,7:36 a.m.,2010-12-15,9:00 AM,California Department of Water Resources,Southern California,WECC,464,,"transmission interruption, load shedding"
Electrical System Separation - Islanding,2010,2010-12-14,7:20 a.m.,2010-12-14,7:25 AM,Pacific Gas and Electric,California,WECC,9,"6,635",islanding
Electrical System Separation - Islanding,2010,2010-12-03,9:32 p.m.,2010-12-04,2:00 AM,Pacific Gas and Electric,California,WECC,22,"7,077",islanding
Electrical System Separation - Islanding,2010,2010-11-23,2:01 p.m.,2010-11-23,6:12 PM,Pacific Gas and Electric,Northern California,WECC,22,"7,077",islanding
Winter Storm,2010,2010-11-21,1:39 a.m.,2010-11-24,4:46 PM,Pacific Gas and Electric,Northern and Central California,WECC,75,"60,000","severe weather, winter storm"
Electrical System Separation - Islanding,2010,2010-11-06,3:53 p.m.,2010-11-06,6:08 PM,Pacific Gas and Electric,Northern California,WECC,20,4,islanding
Firm System Load Loss,2010,2010-10-31,10:26 p.m.,2010-11-01,1:45 AM,California Department of Water Resources,"Bakersfield, California",WECC,500,,load shedding
Electrical System Separation-Islanding,2010,2010-10-27,5:16 p.m.,2010-10-27,5:27 PM,Pacific Gas and Electric,Northern California,WECC,16,"2,674",islanding
Rain and High Winds,2010,2010-10-05,5:45 a.m.,2010-10-07,6:00a.,Los Angeles Department of Water and Power,"City of Los Angeles, California",WECC,,"73,514","severe weather, wind, rain"
Interruptible Load Shed,2010,2010-09-27,3:15 p.m.,2010-09-27,6:12 PM,Southern California Edison Company,Central and Southern California,WECC,595,,load shedding
Firm Load Shed,2010,2010-09-22,6:12 a.m.,2010-09-22,11:00 PM,California Department of Water Resources,"Bakersfield, California",WECC,526,,load shedding
