antecedent,consequent,support,confidence,lift
"('fires_30day_level=High',)","('acres_30day_level=High', 'is_wildfire_season')",0.2476,0.7222,2.4074
"('acres_30day_level=High',)","('fires_30day_level=High', 'is_wildfire_season')",0.2476,0.7429,2.2286
"('acres_30day_level=High', 'fires_30day_level=High')","('is_wildfire_season',)",0.2476,0.9811,2.0004
"('fires_30day_level=High', 'is_wildfire_season')","('acres_30day_level=High',)",0.2476,0.7429,2.2286
"('acres_30day_level=High', 'is_wildfire_season')","('fires_30day_level=High',)",0.2476,0.8254,2.4074
"('fires_30day_level=High',)","('acres_30day_level=High', 'fires_7day_level=High')",0.2143,0.625,2.6786
"('acres_30day_level=High',)","('fires_30day_level=High', 'fires_7day_level=High')",0.2143,0.6429,2.25
"('fires_7day_level=High',)","('acres_30day_level=High', 'fires_30day_level=High')",0.2143,0.6429,2.5472
"('acres_30day_level=High', 'fires_30day_level=High')","('fires_7day_level=High',)",0.2143,0.8491,2.5472
"('fires_30day_level=High', 'fires_7day_level=High')","('acres_30day_level=High',)",0.2143,0.75,2.25
"('acres_30day_level=High', 'fires_7day_level=High')","('fires_30day_level=High',)",0.2143,0.9184,2.6786
"('fires_30day_level=High',)","('acres_30day_level=High', 'has_active_fire')",0.2524,0.7361,2.2083
"('acres_30day_level=High',)","('fires_30day_level=High', 'has_active_fire')",0.2524,0.7571,2.2083
"('acres_30day_level=High', 'fires_30day_level=High')","('has_active_fire',)",0.2524,1.0,1.0881
"('fires_30day_level=High', 'has_active_fire')","('acres_30day_level=High',)",0.2524,0.7361,2.2083
"('acres_30day_level=High', 'has_active_fire')","('fires_30day_level=High',)",0.2524,0.7571,2.2083
"('OUTAGE.DURATION_level=Medium', 'fires_30day_level=High')","('has_active_fire',)",0.1476,1.0,1.0881
"('acres_7day_level=High', 'fires_30day_level=High')","('max_frp_level=High',)",0.1905,0.8,2.4
"('fires_30day_level=High', 'max_frp_level=High')","('acres_7day_level=High',)",0.1905,0.9091,2.7273
"('acres_7day_level=High', 'max_frp_level=High')","('fires_30day_level=High',)",0.1905,0.8163,2.381
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_30day_level=High')","('acres_7day_level=High',)",0.1714,0.6792,2.0377
"('CUSTOMERS.AFFECTED_level=Medium', 'acres_7day_level=High')","('fires_30day_level=High',)",0.1714,0.6792,1.9811
"('acres_7day_level=High', 'fires_30day_level=High')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1714,0.72,1.0286
"('fires_30day_level=High',)","('acres_7day_level=High', 'is_wildfire_season')",0.2333,0.6806,2.5521
"('acres_7day_level=High',)","('fires_30day_level=High', 'is_wildfire_season')",0.2333,0.7,2.1
"('acres_7day_level=High', 'fires_30day_level=High')","('is_wildfire_season',)",0.2333,0.98,1.9981
"('fires_30day_level=High', 'is_wildfire_season')","('acres_7day_level=High',)",0.2333,0.7,2.1
"('acres_7day_level=High', 'is_wildfire_season')","('fires_30day_level=High',)",0.2333,0.875,2.5521
"('fires_7day_level=High',)","('acres_7day_level=High', 'fires_30day_level=High')",0.2048,0.6143,2.58
"('acres_7day_level=High',)","('fires_30day_level=High', 'fires_7day_level=High')",0.2048,0.6143,2.15
"('fires_30day_level=High', 'fires_7day_level=High')","('acres_7day_level=High',)",0.2048,0.7167,2.15
"('acres_7day_level=High', 'fires_30day_level=High')","('fires_7day_level=High',)",0.2048,0.86,2.58
"('acres_7day_level=High', 'fires_7day_level=High')","('fires_30day_level=High',)",0.2048,0.8776,2.5595
"('fires_30day_level=High',)","('acres_7day_level=High', 'has_active_fire')",0.2381,0.6944,2.0833
"('acres_7day_level=High',)","('fires_30day_level=High', 'has_active_fire')",0.2381,0.7143,2.0833
"('fires_30day_level=High', 'has_active_fire')","('acres_7day_level=High',)",0.2381,0.6944,2.0833
"('acres_7day_level=High', 'fires_30day_level=High')","('has_active_fire',)",0.2381,1.0,1.0881
"('acres_7day_level=High', 'has_active_fire')","('fires_30day_level=High',)",0.2381,0.7143,2.0833
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_30day_level=High')","('max_frp_level=High',)",0.1571,0.6226,1.8679
"('CUSTOMERS.AFFECTED_level=Medium', 'max_frp_level=High')","('fires_30day_level=High',)",0.1571,0.6111,1.7824
"('fires_30day_level=High', 'max_frp_level=High')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1571,0.75,1.0714
"('fires_30day_level=High',)","('is_wildfire_season', 'max_frp_level=High')",0.2095,0.6111,2.3765
"('max_frp_level=High',)","('fires_30day_level=High', 'is_wildfire_season')",0.2095,0.6286,1.8857
"('fires_30day_level=High', 'max_frp_level=High')","('is_wildfire_season',)",0.2095,1.0,2.0388
"('fires_30day_level=High', 'is_wildfire_season')","('max_frp_level=High',)",0.2095,0.6286,1.8857
"('is_wildfire_season', 'max_frp_level=High')","('fires_30day_level=High',)",0.2095,0.8148,2.3765
"('fires_30day_level=High', 'fires_7day_level=High')","('max_frp_level=High',)",0.1762,0.6167,1.85
"('fires_30day_level=High', 'max_frp_level=High')","('fires_7day_level=High',)",0.1762,0.8409,2.5227
"('fires_7day_level=High', 'max_frp_level=High')","('fires_30day_level=High',)",0.1762,0.8605,2.5097
