year_month,outage_count,OUTAGE.DURATION,CUSTOMERS.AFFECTED,DEMAND.LOSS.MW,is_high_severity,is_wildfire_related,monthly_fire_count,monthly_acres_burned,avg_fire_size,max_fire_size,most_common_cause
2008-04-01,0,0.0,0.0,0.0,0,0,620.0,2782.37,4.487693548387097,769.0,Miscellaneous
2008-05-01,1,155.0,0.0,483.0,0,0,927.0,27504.04,29.669946062567423,15300.0,Miscellaneous
2008-06-01,1,224.0,477.0,3.0,0,0,1938.0,1099737.24,567.4598761609907,162818.0,Miscellaneous
2008-07-01,6,1271.8,79261.33333333333,145.4,1,2,1126.0,130400.61,115.80871225577263,44452.0,Miscellaneous
2008-08-01,0,0.0,0.0,0.0,0,0,1095.0,69680.2,63.63488584474886,47647.0,Miscellaneous
2008-09-01,2,434.0,10000.0,165.0,0,0,751.0,23555.14,31.36503328894807,11200.0,Miscellaneous
2008-10-01,0,0.0,0.0,0.0,0,0,593.0,30871.28,52.05949409780776,14703.0,Miscellaneous
2008-11-01,3,757.0,218500.0,297.0,3,1,197.0,43806.78,222.36944162436544,30305.0,Miscellaneous
2008-12-01,3,4378.666666666667,25319.0,38.666666666666664,1,0,67.0,60.67,0.9055223880597016,15.8,Miscellaneous
2009-01-01,0,0.0,0.0,0.0,0,0,116.0,295.38,2.5463793103448276,100.0,Miscellaneous
2009-02-01,0,0.0,0.0,0.0,0,0,74.0,1109.4,14.99189189189189,945.0,Miscellaneous
2009-03-01,1,89.0,0.0,150.0,0,0,150.0,276.75,1.845,77.0,Debris Burning
2009-04-01,2,124.0,280000.0,512.0,1,0,436.0,4495.65,10.311123853211008,3060.0,Miscellaneous
2009-05-01,0,0.0,0.0,0.0,0,0,796.0,16500.18,20.728869346733667,8733.0,Miscellaneous
2009-06-01,2,650.0,70.0,150.5,0,0,1026.0,12939.55,12.611647173489278,2577.0,Miscellaneous
2009-07-01,1,909.0,1.0,136.0,0,0,1451.0,33323.56,22.96592694693315,6130.0,Miscellaneous
2009-08-01,1,89.0,0.0,0.0,0,0,1258.0,347230.37,276.0177821939587,160371.0,Miscellaneous
2009-09-01,0,0.0,0.0,0.0,0,0,830.0,24710.640000000003,29.77185542168675,17463.0,Miscellaneous
2009-10-01,3,185.0,476777.0,206.66666666666666,2,0,461.0,13809.38,29.95527114967462,7128.0,Miscellaneous
2009-11-01,1,945.0,0.0,630.0,0,0,249.0,566.13,2.273614457831325,145.0,Miscellaneous
2009-12-01,2,703.0,0.0,400.0,0,0,93.0,93.05,1.000537634408602,32.4,Miscellaneous
2010-01-01,4,5506.0,481805.75,1080.0,3,0,59.0,149.51,2.5340677966101692,107.0,Miscellaneous
2010-02-01,1,451.0,0.0,1000.0,1,0,45.0,8.47,0.1882222222222222,2.5,Missing/Undefined
2010-03-01,2,47.5,290000.0,324.0,1,0,104.0,300.4,2.8884615384615384,130.0,Miscellaneous
2010-04-01,0,0.0,0.0,0.0,0,0,127.0,51.38,0.4045669291338583,2.0,Miscellaneous
2010-05-01,1,871.0,0.0,318.0,0,0,425.0,6844.42,16.104517647058824,2044.0,Miscellaneous
2010-06-01,2,86.0,2650.0,3.0,0,0,940.0,9336.63,9.932585106382978,1600.0,Miscellaneous
2010-07-01,2,47.0,0.0,522.0,0,2,1424.0,73566.06,51.66155898876404,16442.0,Miscellaneous
2010-08-01,1,660.0,0.0,0.0,0,0,1079.0,14058.27,13.028980537534755,1312.0,Miscellaneous
2010-09-01,3,443.0,15000.0,384.0,0,0,778.0,13264.72,17.049768637532132,9820.0,Miscellaneous
2010-10-01,3,1035.0,38094.0,258.0,1,0,582.0,2581.8,4.436082474226804,1253.0,Lightning
2010-11-01,3,1871.0,22360.333333333332,39.0,1,0,169.0,729.92,4.319053254437869,156.0,Miscellaneous
2010-12-01,3,599.0,6856.0,165.0,0,0,44.0,55.459999999999994,1.2604545454545453,35.0,Miscellaneous
2011-01-01,0,0.0,0.0,0.0,0,0,137.0,110.74,0.8083211678832117,38.0,Missing/Undefined
2011-02-01,4,4607.75,53333.333333333336,60.666666666666664,2,0,155.0,110.96,0.7158709677419355,10.0,Missing/Undefined
2011-03-01,5,1769.2,86626.4,137.75,4,0,131.0,1321.98,10.091450381679389,850.0,Missing/Undefined
2011-04-01,0,0.0,0.0,0.0,0,0,348.0,774.78,2.2263793103448277,300.0,Missing/Undefined
2011-05-01,0,0.0,0.0,0.0,0,0,808.0,6483.57,8.024220297029702,1122.0,Missing/Undefined
2011-06-01,3,60.333333333333336,1911.3333333333333,5.0,0,0,1098.0,19169.09,17.45818761384335,5196.0,Missing/Undefined
2011-07-01,1,70.0,0.0,0.0,0,0,1660.0,50432.55,30.38105421686747,20500.0,Missing/Undefined
2011-08-01,0,0.0,0.0,0.0,0,0,1339.0,25184.6,18.808513816280808,5230.0,Missing/Undefined
2011-09-01,0,0.0,0.0,0.0,0,0,1493.0,82314.93,55.1339115874079,25577.0,Lightning
2011-10-01,0,0.0,0.0,0.0,0,0,550.0,3213.89,5.843436363636363,2134.2,Missing/Undefined
2011-11-01,1,2464.0,150000.0,0.0,1,0,330.0,1190.09,3.606333333333333,250.0,Missing/Undefined
2011-12-01,2,5935.5,95845.0,300.0,2,0,513.0,1979.74,3.859142300194932,698.0,Miscellaneous
2012-01-01,0,0.0,0.0,0.0,0,0,407.0,447.69,1.09997542997543,28.0,Missing/Undefined
2012-02-01,1,193.0,1.0,1.0,0,0,286.0,433.38,1.5153146853146853,200.0,Debris Burning
2012-03-01,0,0.0,0.0,0.0,0,0,287.0,378.98,1.3204878048780488,80.0,Missing/Undefined
2012-04-01,2,1787.5,0.0,0.0,0,0,277.0,496.95,1.794043321299639,143.0,Missing/Undefined
2012-05-01,0,0.0,0.0,0.0,0,0,771.0,12219.44,15.84881971465629,5132.0,Missing/Undefined
2012-06-01,2,1562.5,0.0,0.0,0,0,1063.0,16476.87,15.500348071495766,2176.7,Missing/Undefined
2012-07-01,1,4320.0,0.0,0.0,0,0,1280.0,158454.93,123.7929140625,75431.0,Missing/Undefined
2012-08-01,1,26.0,127.0,5.0,0,0,1305.0,526512.86,403.4581302681992,315578.8,Lightning
2012-09-01,1,0.0,0.0,0.0,0,0,781.0,47086.19,60.28961587708067,17944.0,Missing/Undefined
2012-10-01,2,17.0,2035.0,3.0,0,0,482.0,1459.65,3.0283195020746887,300.0,Miscellaneous
2012-11-01,0,0.0,0.0,0.0,0,0,212.0,771.85,3.640801886792453,350.0,Miscellaneous
2012-12-01,2,1556.5,125000.0,320.0,1,0,57.0,27.85,0.4885964912280702,7.0,Debris Burning
2013-01-01,0,0.0,0.0,0.0,0,0,167.0,469.14,2.8092215568862273,335.0,Missing/Undefined
2013-02-01,1,1254.0,6810.0,13850.0,1,0,219.0,937.03,4.278675799086757,407.0,Missing/Undefined
2013-03-01,1,230.0,58850.0,300.0,1,0,366.0,407.58,1.113606557377049,100.0,Missing/Undefined
2013-04-01,3,1676.0,0.3333333333333333,40.0,0,0,655.0,2123.09,3.2413587786259543,261.7,Missing/Undefined
2013-05-01,1,0.0,0.0,176.0,0,0,1307.0,93021.48,71.17175210405509,30274.0,Missing/Undefined
2013-06-01,2,209.5,106627.5,240.0,2,0,1274.0,11807.521,9.268069858712716,3870.0,Missing/Undefined
2013-07-01,4,321.0,41833.333333333336,100.0,1,0,1360.0,103476.26,76.08548529411765,27531.0,Missing/Undefined
2013-08-01,1,656.0,124000.0,685.0,1,0,1288.0,346462.351,268.9925085403727,255858.0,Lightning
2013-09-01,0,0.0,0.0,0.0,0,0,671.0,14503.02,21.61403874813711,8056.0,Miscellaneous
2013-10-01,2,231.5,433.0,115.0,0,0,569.0,2745.89,4.825817223198594,376.0,Missing/Undefined
2013-11-01,2,228.0,68950.0,102.5,1,0,551.0,4949.05,8.981941923774954,3505.0,Miscellaneous
2013-12-01,0,0.0,0.0,0.0,0,0,296.0,507.88,1.7158108108108108,100.0,Miscellaneous
2014-01-01,0,0.0,0.0,0.0,0,0,516.0,5496.55,10.652228682170543,1980.0,Missing/Undefined
2014-02-01,3,411.3333333333333,0.0,1590.3333333333333,1,0,222.0,227.08,1.0228828828828829,36.9,Debris Burning
2014-03-01,0,0.0,0.0,0.0,0,0,217.0,874.52,4.030046082949308,270.0,Debris Burning
2014-04-01,1,1.0,0.0,0.0,0,0,346.0,2987.21,8.633554913294798,2143.0,Missing/Undefined
2014-05-01,4,309.0,933475.3333333334,3600.0,2,3,803.0,26439.63,32.926064757160646,14416.0,Missing/Undefined
2014-06-01,0,0.0,0.0,0.0,0,0,965.0,11960.26,12.394051813471505,4840.0,Missing/Undefined
2014-07-01,0,0.0,0.0,0.0,0,0,1447.0,244880.39,169.2331651693158,47958.0,Lightning
2014-08-01,0,0.0,0.0,0.0,0,0,840.0,146469.39,174.36832142857145,115279.2,Lightning
2014-09-01,0,0.0,0.0,0.0,0,0,537.0,103253.38,192.27817504655496,97717.0,Miscellaneous
2014-10-01,0,0.0,0.0,0.0,0,0,345.0,3977.79,11.529826086956522,3213.0,Missing/Undefined
2014-11-01,0,0.0,0.0,0.0,0,0,197.0,276.34999999999997,1.4027918781725888,105.0,Miscellaneous
2014-12-01,0,0.0,0.0,0.0,0,0,59.0,36.23,0.6140677966101695,20.0,Miscellaneous
2015-01-01,0,0.0,0.0,0.0,0,0,92.0,108.42,1.1784782608695652,52.0,Debris Burning
2015-02-01,3,1.0,65000.0,0.0,1,0,138.0,7408.259999999999,53.68304347826086,6533.0,Debris Burning
