year_month,monthly_fire_count,monthly_acres_burned,avg_fire_size,max_fire_size,most_common_cause
2005-06,956,97165.07,101.63710251046025,63436.0,Equipment Use
2005-07,1473,57151.64,38.79948404616429,10350.0,Equipment Use
2005-08,1259,27321.6,21.701032565528195,5493.0,Equipment Use
2005-09,1043,52204.670000000006,50.052416107382555,24970.0,Miscellaneous
2005-10,610,15488.5,25.390983606557377,6644.0,Miscellaneous
2005-11,341,5248.54,15.391612903225806,3891.0,Miscellaneous
2005-12,133,145.11,1.0910526315789475,34.0,Miscellaneous
2006-01,137,545.82,3.9840875912408764,485.0,Miscellaneous
2006-02,224,13655.009999999998,60.959866071428564,10584.0,Miscellaneous
2006-03,74,34.4,0.46486486486486484,10.0,Miscellaneous
2006-04,119,47.74,0.4011764705882353,9.0,Miscellaneous
2006-05,651,11117.04,17.076866359447006,1964.0,Miscellaneous
2006-06,1502,49135.62,32.713462050599205,14988.0,Equipment Use
2006-07,2043,403677.06,197.59033773861967,66113.0,Lightning
2006-08,1267,21084.94,16.641625887924228,4864.0,Equipment Use
2006-09,911,229065.28,251.44377607025248,162702.0,Miscellaneous
2006-10,746,47262.51,63.354571045576414,40200.0,Miscellaneous
2006-11,318,2049.58,6.445220125786164,640.0,Miscellaneous
2006-12,279,35036.94,125.5804301075269,30000.0,Miscellaneous
2007-01,506,2283.13,4.512114624505929,671.0,Miscellaneous
2007-02,268,336.5,1.2555970149253732,169.0,Miscellaneous
2007-03,419,9841.74,23.488639618138425,4100.0,Miscellaneous
2007-04,569,4593.72,8.073321616871706,1988.0,Miscellaneous
2007-05,1199,15694.16,13.089374478732276,4750.0,Miscellaneous
2007-06,1451,27176.88,18.72975878704342,4200.0,Miscellaneous
2007-07,1773,316140.08,178.30799774393685,240207.0,Miscellaneous
2007-08,1496,20305.27,13.573041443850268,5600.0,Miscellaneous
2007-09,979,135061.66999999998,137.95880490296219,64994.45,Miscellaneous
2007-10,784,506937.07,646.603405612245,197990.0,Miscellaneous
2007-11,454,6701.34,14.760660792951542,4901.0,Miscellaneous
2007-12,253,220.06,0.869802371541502,97.0,Miscellaneous
2008-01,80,121.0,1.5125,42.0,Miscellaneous
2008-02,106,588.85,5.555188679245283,400.0,Miscellaneous
2008-03,244,1045.42,4.284508196721312,680.0,Debris Burning
2008-04,620,2782.37,4.487693548387097,769.0,Miscellaneous
2008-05,927,27504.04,29.669946062567423,15300.0,Miscellaneous
