fire_date,daily_fire_count,daily_acres_burned,avg_fire_size,max_fire_size,avg_lat,avg_lon,fires_7day,fires_30day,acres_7day,acres_30day
1999-08-08,41.0,82.6,2.0146341463414634,25.0,37.578793060975606,-120.16800646219512,344.0,1607.0,6920.299999999986,41629.700000000004
1999-08-09,43.0,708.5,16.476744186046513,676.0,38.223440896511626,-120.31549892790697,350.0,1587.0,7333.599999999986,42185.30000000001
1999-08-10,153.0,14638.7,95.67777777777778,11705.4,39.723122542418295,-121.03871222405229,470.0,1600.0,21904.699999999986,52680.90000000001
1999-08-11,45.0,81.8,1.8177777777777777,60.0,38.94208556688889,-120.66117899888889,457.0,1581.0,16442.999999999985,52359.100000000006
1999-08-12,33.0,369.2,11.187878787878788,325.0,38.195206142121215,-120.68737963212122,450.0,1511.0,16470.099999999984,50764.100000000006
1999-08-13,54.0,462.6,8.566666666666666,400.0,38.61245681722222,-121.0571071362963,423.0,1453.0,16545.499999999985,49911.70000000001
1999-08-14,42.0,4470.400000000001,106.43809523809526,4416.0,37.835704590714286,-120.56071673761905,411.0,1453.0,20813.79999999999,54191.000000000015
1999-08-15,59.0,102.3,1.7338983050847456,36.0,36.82005011067796,-119.81349242813559,429.0,1475.0,20833.49999999999,54275.600000000006
1999-08-16,31.0,201.10000000000002,6.4870967741935495,150.0,37.46910934354838,-120.49071192548388,417.0,1452.0,20326.099999999984,51785.8
1999-08-17,46.0,318.90000000000003,6.932608695652175,218.0,37.595595242608695,-120.45317892695651,310.0,1452.0,6006.2999999999865,37484.80000000001
1999-08-18,29.0,176.5,6.086206896551724,130.0,37.95025375586207,-120.48355243620689,294.0,1450.0,6100.999999999986,37575.3
1999-08-19,36.0,40.3,1.1194444444444445,15.0,37.74639251916667,-120.49879767083333,297.0,1449.0,5772.099999999987,37508.40000000001
1999-08-20,31.0,83.6,2.696774193548387,40.0,38.029354529032254,-120.53858623709678,274.0,1439.0,5393.099999999986,36900.00000000001
1999-08-21,39.0,1364.8,34.99487179487179,1106.0,37.68743211923077,-120.53818892692307,271.0,1436.0,2287.4999999999854,38165.70000000001
1999-08-22,115.0,31399.1,273.03565217391304,30568.0,39.274100646347826,-120.78960802843478,327.0,1504.0,33584.29999999998,69273.5
1999-08-23,312.0,291043.4,932.8314102564103,124898.0,40.10415152900641,-121.39974331230769,608.0,1729.0,324426.6,357724.9
1999-08-24,59.0,4770.6,80.85762711864407,4336.0,38.34853168644068,-120.45587268423729,621.0,1750.0,328878.29999999993,358382.1
1999-08-25,80.0,1480.5,18.50625,656.0,37.647366444,-120.02930298174999,672.0,1800.0,330182.29999999993,359814.8
1999-08-26,72.0,1583.3999999999999,21.991666666666664,325.0,37.62624646041667,-119.96122118249998,708.0,1830.0,331725.39999999997,361347.9
1999-08-27,60.0,103.9,1.7316666666666667,20.0,37.901023673000005,-120.0669828235,737.0,1843.0,331745.7,360956.00000000006
1999-08-28,52.0,70031.8,1346.7653846153846,65000.0,37.14651380173077,-119.90416820365385,750.0,1859.0,400412.7,430825.50000000006
